round,home,away
1,Atlético Mineiro,Internacional
1,Bahia,Red Bull Bragantino
1,Botafogo,Fluminense
1,Corinthians,Vitória
1,Flamengo,Sport
1,Grêmio,Fortaleza
1,Palmeiras,Ceará
1,Santos,Mirassol
1,São Paulo,Juventude
1,Vasco da Gama,Cruzeiro
2,Atlético Mineiro,Botafogo
2,Ceará,Mirassol
2,Cruzeiro,Corinthians
2,Fluminense,Grêmio
2,Fortaleza,São Paulo
2,Internacional,Bahia
2,Juventude,Palmeiras
2,Red Bull Bragantino,Vasco da Gama
2,Sport,Santos
2,Vitória,Flamengo
3,Bahia,Botafogo
3,Corinthians,Red Bull Bragantino
3,Flamengo,Cruzeiro
3,Grêmio,Atlético Mineiro
3,Mirassol,Juventude
3,Palmeiras,Fortaleza
3,Santos,Ceará
3,Sport,Vitória
3,São Paulo,Fluminense
3,Vasco da Gama,Internacional
4,Atlético Mineiro,São Paulo
4,Bahia,Grêmio
4,Botafogo,Vasco da Gama
4,Cruzeiro,Sport
4,Fluminense,Palmeiras
4,Fortaleza,Mirassol
4,Internacional,Corinthians
4,Juventude,Ceará
4,Red Bull Bragantino,Flamengo
4,Vitória,Santos
5,Ceará,Fortaleza
5,Corinthians,Botafogo
5,Flamengo,Internacional
5,Mirassol,Fluminense
5,Palmeiras,Atlético Mineiro
5,Santos,Juventude
5,Sport,Red Bull Bragantino
5,São Paulo,Bahia
5,Vasco da Gama,Grêmio
5,Vitória,Cruzeiro
6,Atlético Mineiro,Mirassol
6,Bahia,Palmeiras
6,Botafogo,Flamengo
6,Cruzeiro,Santos
6,Fluminense,Ceará
6,Fortaleza,Juventude
6,Grêmio,Corinthians
6,Internacional,Sport
6,Red Bull Bragantino,Vitória
6,Vasco da Gama,São Paulo
7,Ceará,Atlético Mineiro
7,Corinthians,São Paulo
7,Cruzeiro,Red Bull Bragantino
7,Flamengo,Grêmio
7,Juventude,Fluminense
7,Mirassol,Bahia
7,Palmeiras,Vasco da Gama
7,Santos,Fortaleza
7,Sport,Botafogo
7,Vitória,Internacional
8,Atlético Mineiro,Juventude
8,Bahia,Ceará
8,Botafogo,Vitória
8,Corinthians,Palmeiras
8,Fluminense,Fortaleza
8,Grêmio,Sport
8,Internacional,Cruzeiro
8,Red Bull Bragantino,Santos
8,São Paulo,Flamengo
8,Vasco da Gama,Mirassol
9,Ceará,Vasco da Gama
9,Cruzeiro,Botafogo
9,Flamengo,Palmeiras
9,Fortaleza,Atlético Mineiro
9,Juventude,Bahia
9,Mirassol,Corinthians
9,Red Bull Bragantino,Internacional
9,Santos,Fluminense
9,Sport,São Paulo
9,Vitória,Grêmio
10,Atlético Mineiro,Fluminense
10,Bahia,Fortaleza
10,Botafogo,Red Bull Bragantino
10,Corinthians,Ceará
10,Flamengo,Mirassol
10,Grêmio,Cruzeiro
10,Internacional,Santos
10,Palmeiras,Sport
10,São Paulo,Vitória
10,Vasco da Gama,Juventude
11,Ceará,Flamengo
11,Cruzeiro,São Paulo
11,Fluminense,Bahia
11,Fortaleza,Vasco da Gama
11,Internacional,Botafogo
11,Juventude,Corinthians
11,Red Bull Bragantino,Grêmio
11,Santos,Atlético Mineiro
11,Sport,Mirassol
11,Vitória,Palmeiras
12,Bahia,Atlético Mineiro
12,Botafogo,Santos
12,Corinthians,Fortaleza
12,Flamengo,Juventude
12,Grêmio,Internacional
12,Mirassol,Vitória
12,Palmeiras,Cruzeiro
12,Sport,Ceará
12,São Paulo,Red Bull Bragantino
12,Vasco da Gama,Fluminense
13,Atlético Mineiro,Vasco da Gama
13,Botafogo,Grêmio
13,Cruzeiro,Mirassol
13,Fluminense,Corinthians
13,Fortaleza,Flamengo
13,Internacional,São Paulo
13,Juventude,Sport
13,Red Bull Bragantino,Palmeiras
13,Santos,Bahia
13,Vitória,Ceará
14,Ceará,Cruzeiro
14,Corinthians,Atlético Mineiro
14,Flamengo,Fluminense
14,Grêmio,Santos
14,Mirassol,Red Bull Bragantino
14,Palmeiras,Internacional
14,Sport,Fortaleza
14,São Paulo,Botafogo
14,Vasco da Gama,Bahia
14,Vitória,Juventude
15,Atlético Mineiro,Flamengo
15,Bahia,Corinthians
15,Botafogo,Palmeiras
15,Cruzeiro,Juventude
15,Fluminense,Sport
15,Fortaleza,Vitória
15,Grêmio,São Paulo
